population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,seed,runtime_seconds,dbi_before_ga,dbi_after_ga,dbi_improvement_pct,silhouette_score,ch_score,total_inertia,final_k,n_clusters_used
20,10,0.05,0.05,0.05,0.05,5,44,10.0866,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,10,0.05,0.05,0.05,0.05,5,45,10.1029,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
20,10,0.05,0.05,0.05,0.05,5,46,10.1987,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.05,0.05,0.05,0.05,8,42,13.8688,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
20,10,0.05,0.05,0.05,0.05,8,43,13.9222,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.05,0.05,0.05,0.05,8,44,13.8743,0.5599,0.5419,3.21,0.5227,578.469,1892.62,3,3
20,10,0.05,0.05,0.05,0.05,8,45,13.9811,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,10,0.05,0.05,0.05,0.05,8,46,13.8568,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,10,0.05,0.05,0.05,0.05,12,42,15.1489,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
20,10,0.05,0.05,0.05,0.05,12,43,15.2009,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,10,0.05,0.05,0.05,0.05,12,44,15.1038,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,10,0.05,0.05,0.05,0.05,12,45,15.1542,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,10,0.05,0.05,0.05,0.05,12,46,15.2796,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,10,0.1,0.1,0.1,0.1,5,42,10.0205,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.1,0.1,0.1,0.1,5,43,10.0345,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.1,0.1,0.1,0.1,5,44,9.9333,0.5599,0.5419,3.21,0.5227,578.5047,1892.2936,3,3
20,10,0.1,0.1,0.1,0.1,5,45,10.1619,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.1,0.1,0.1,0.1,5,46,9.8876,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,10,0.1,0.1,0.1,0.1,8,42,14.0647,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.1,0.1,0.1,0.1,8,43,14.2575,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.1,0.1,0.1,0.1,8,44,14.3488,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.1,0.1,0.1,0.1,8,45,14.3834,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.1,0.1,0.1,0.1,8,46,14.0606,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,10,0.1,0.1,0.1,0.1,12,42,15.3613,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,10,0.1,0.1,0.1,0.1,12,43,15.2952,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,10,0.1,0.1,0.1,0.1,12,44,15.3327,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.1,0.1,0.1,0.1,12,45,15.2377,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,10,0.1,0.1,0.1,0.1,12,46,15.3617,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,25,0.01,0.01,0.01,0.01,5,42,10.1928,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,25,0.01,0.01,0.01,0.01,5,43,10.009,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,25,0.01,0.01,0.01,0.01,5,44,10.0786,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,25,0.01,0.01,0.01,0.01,5,45,9.985,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,25,0.01,0.01,0.01,0.01,5,46,9.9386,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,25,0.01,0.01,0.01,0.01,8,42,14.2313,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
20,25,0.01,0.01,0.01,0.01,8,43,13.9247,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,25,0.01,0.01,0.01,0.01,8,44,13.9737,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,25,0.01,0.01,0.01,0.01,8,45,13.8502,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
20,25,0.01,0.01,0.01,0.01,8,46,14.0467,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,25,0.01,0.01,0.01,0.01,12,42,19.2825,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,25,0.01,0.01,0.01,0.01,12,43,18.8282,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
20,25,0.01,0.01,0.01,0.01,12,44,18.9835,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
20,25,0.01,0.01,0.01,0.01,12,45,19.5602,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,25,0.01,0.01,0.01,0.01,12,46,19.8407,0.5599,0.5418,3.23,0.5227,577.9145,1893.9968,3,3
20,25,0.05,0.05,0.05,0.05,5,42,9.9023,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,25,0.05,0.05,0.05,0.05,5,43,10.1555,0.5599,0.5419,3.21,0.5226,578.3379,1892.9816,3,3
20,25,0.05,0.05,0.05,0.05,5,44,9.9558,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,25,0.05,0.05,0.05,0.05,5,45,10.3646,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,25,0.05,0.05,0.05,0.05,5,46,10.0439,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,25,0.05,0.05,0.05,0.05,8,42,13.7493,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
20,25,0.05,0.05,0.05,0.05,8,43,13.8245,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,25,0.05,0.05,0.05,0.05,8,44,13.802,0.5599,0.5419,3.21,0.5227,578.469,1892.62,3,3
